#MPHA.GSTICS.IEEETimeStr	MPQ	MASS	cal
1993-033T20:47:43.600	19.528	41.630	
1993-033T21:13:33.000	5.8980	41.600	
1993-012T19:52:37.600	36.320	41.590	
1993-033T20:23:55.300	16.974	41.510	
1993-033T20:32:50.900	18.016	41.460	
1993-033T20:18:37.500	44.846	41.460	
1993-012T18:09:49.800	8.9280	41.400	
1993-012T17:16:35.800	10.820	41.300	
1993-012T20:36:17.200	16.465	41.190	
1993-012T17:51:13.600	20.725	40.900	
1993-012T18:28:44.100	21.216	40.860	
1993-012T20:33:49.000	18.966	40.850	
1993-033T20:29:58.400	20.872	40.670	
1993-012T17:59:41.800	39.623	40.660	
1993-033T20:22:15.400	48.881	40.580	
1993-012T20:35:28.800	14.721	40.470	
1993-033T20:34:00.500	8.6730	40.400	
1993-012T20:05:10.800	22.666	40.240	
1993-012T18:15:28.600	19.528	40.210	
1993-033T20:20:44.600	22.764	40.210	
1993-033T20:38:26.800	9.4500	40.140	
1993-033T21:14:18.400	8.1240	40.030	
1993-033T21:11:59.200	17.161	40.020	
1993-012T20:28:55.600	21.464	39.940	
1993-033T20:39:42.500	16.190	39.910	
1993-033T20:48:32.000	9.7170	39.840	
1993-033T19:59:15.500	12.300	39.830	
1993-012T20:09:12.800	19.340	39.510	
1993-012T17:50:52.500	18.596	39.420	
1993-033T21:35:23.400	15.247	39.390	
1993-012T18:19:06.300	18.229	39.300	
1993-033T20:33:39.300	16.054	39.280	
1993-012T19:57:52.200	20.240	39.250	
1993-033T20:34:00.500	17.866	39.150	
1993-012T20:33:27.800	22.441	39.110	
1993-012T16:54:25.100	15.595	38.780	
1993-033T20:34:45.900	10.766	38.770	
1993-033T20:28:21.600	8.4210	38.480	
1993-012T20:16:49.600	20.240	38.450	
1993-033T20:32:47.900	29.179	38.450	
1993-012T18:21:52.800	20.482	38.440	
1993-033T20:42:31.900	16.742	38.200	
1993-012T18:08:13.000	19.340	38.130	
1993-012T17:56:10.100	16.190	37.880	
1993-012T17:23:03.000	22.463	37.880	
1993-012T17:34:47.700	16.190	37.880	
1993-033T20:59:52.900	18.892	37.690	
1993-012T19:53:50.300	20.482	37.630	
1993-033T20:21:51.200	20.970	37.530	
1993-012T17:46:05.100	15.648	37.460	
1993-033T20:38:54.000	6.1110	37.340	
1993-033T21:02:12.100	11.378	37.330	
1993-012T20:21:15.800	16.565	37.320	
1993-012T20:12:53.600	16.054	37.290	
1993-012T19:53:26.000	39.961	37.290	
1993-012T20:18:08.300	16.054	37.290	
1993-033T20:51:45.700	7.1040	37.230	
1993-033T20:25:32.100	17.686	37.230	
1993-033T20:36:47.000	15.917	37.190	
1993-033T20:13:53.100	23.913	37.170	
1993-033T20:42:56.100	18.745	37.140	
1993-012T20:02:42.600	13.652	37.080	
1993-012T17:52:32.300	21.802	36.980	
1993-033T20:19:32.000	14.333	36.820	
1993-033T20:23:31.100	18.966	36.810	
1993-012T20:20:54.600	16.106	36.740	
1993-012T20:15:43.100	15.918	36.710	
1993-033T21:15:12.900	7.0810	36.660	
1993-012T17:59:41.800	12.679	36.650	
1993-033T20:47:40.600	7.9710	36.510	
1993-033T21:00:11.100	10.590	36.410	
1993-012T18:04:11.000	30.345	36.290	
1993-033T20:42:28.900	9.5830	36.290	
1993-012T17:50:55.500	17.872	36.200	
1993-012T17:45:10.700	19.760	36.140	
1993-012T18:21:34.600	15.783	36.130	
1993-033T19:38:22.600	24.751	36.120	
1993-012T17:25:31.200	16.742	36.110	
1993-033T20:55:26.600	7.8320	36.110	
1993-033T20:31:38.300	6.1960	36.070	
1993-012T17:33:04.800	18.357	35.940	
1993-033T20:32:44.800	33.471	35.800	
1993-012T20:18:29.500	16.974	35.740	
1993-012T20:41:56.000	15.247	35.700	
1993-012T20:06:50.600	17.161	35.670	
1993-033T21:31:21.300	16.603	35.560	
1993-033T21:15:37.100	15.648	35.560	
1993-012T18:28:20.000	15.492	35.550	
1993-033T21:00:35.300	22.980	35.470	
1993-033T20:20:14.300	11.019	35.460	
1993-012T20:29:50.000	22.281	35.450	
1993-012T19:52:37.600	19.052	35.390	
1993-033T20:50:36.100	11.070	35.390	
1993-012T20:17:44.000	16.054	35.330	
1993-033T20:28:24.600	6.4550	35.240	
1993-012T20:08:03.300	14.333	35.150	
1993-012T17:38:49.700	15.115	35.130	
1993-012T20:31:26.800	15.514	35.000	
1993-012T17:39:07.800	10.766	35.000	
1993-033T20:10:15.200	18.161	34.990	
1993-012T20:16:07.300	18.161	34.990	
1993-012T21:16:37.100	6.5430	34.910	
1993-012T17:44:01.100	8.5470	34.900	
1993-012T20:22:34.500	13.571	34.860	
1993-012T17:14:31.800	12.113	34.820	
1993-012T17:35:36.100	15.918	34.780	
1993-012T17:46:02.100	17.328	34.750	
1993-012T17:28:20.600	10.090	34.730	
1993-033T20:52:58.300	15.595	34.730	
1993-012T20:37:51.000	6.1090	34.720	
1993-012T17:41:57.100	15.704	34.690	
1993-012T18:21:28.600	19.999	34.600	
1993-033T20:37:17.200	14.204	34.580	
1993-012T17:53:20.700	14.983	34.570	
1993-012T19:47:47.300	18.128	34.520	
1993-033T20:25:10.900	5.7760	34.500	
1993-033T20:08:14.100	16.327	34.470	
1993-012T17:25:55.400	16.327	34.470	
1993-012T20:18:05.200	25.820	34.470	
1993-033T21:30:32.900	16.327	34.470	
1993-012T20:54:50.400	16.327	34.470	
1993-033T21:14:42.600	5.9850	34.340	
1993-012T20:02:48.700	10.532	34.240	
1993-012T18:11:05.400	6.4550	34.140	
1993-012T20:15:40.000	17.151	34.120	
1993-012T17:20:40.800	14.852	34.020	
1993-012T18:01:42.800	10.766	34.000	
1993-012T17:06:27.800	7.9710	33.970	
1993-012T17:43:15.800	16.190	33.930	
1993-033T20:32:20.600	19.523	33.930	
1993-012T17:24:42.800	25.261	33.910	
1993-033T20:35:13.100	10.820	33.890	
1993-033T20:25:35.100	15.648	33.700	
1993-012T18:00:57.400	9.8510	33.690	
1993-033T21:32:55.000	6.5420	33.590	
1993-012T16:56:04.800	16.603	33.540	
1993-012T20:41:28.800	16.974	33.510	
1993-012T20:36:41.400	20.706	33.500	
1993-033T20:40:52.100	19.152	33.500	
1993-033T20:52:13.000	14.721	33.480	
1993-033T20:29:07.000	10.590	33.450	
1993-012T17:43:15.800	16.054	33.410	
1993-012T18:13:24.500	59.111	33.330	
1993-012T19:53:26.000	18.587	33.260	
1993-033T20:27:09.000	10.679	33.150	
1993-012T17:24:18.600	17.021	33.050	
1993-012T18:13:03.400	26.038	33.020	
1993-012T17:24:42.800	16.465	33.020	
1993-012T21:23:52.700	16.465	33.020	
1993-012T17:12:55.000	10.766	33.000	
1993-033T21:32:58.100	14.204	32.960	
1993-012T20:13:42.100	15.918	32.890	
1993-012T17:53:17.600	7.8090	32.860	
1993-033T20:36:53.000	6.6310	32.850	
1993-012T20:30:08.100	10.943	32.850	
1993-012T17:52:08.100	14.983	32.840	
1993-012T17:19:46.300	7.2290	32.830	
1993-012T20:00:47.700	9.4460	32.750	
1993-012T17:59:23.600	6.5430	32.680	
1993-012T20:03:31.000	9.3990	32.660	
1993-012T20:34:37.400	11.956	32.580	
1993-012T17:28:17.600	11.662	32.560	
1993-033T20:23:34.100	16.881	32.540	
1993-033T20:17:27.900	17.328	32.480	
1993-012T17:31:03.800	24.019	32.480	
1993-012T17:53:17.600	16.974	32.410	
1993-012T17:56:28.200	8.4340	32.390	
1993-012T17:58:35.300	15.783	32.380	
1993-012T17:50:31.300	15.783	32.380	
1993-012T21:04:07.000	15.783	32.380	
1993-012T20:02:21.500	16.277	32.160	
1993-012T17:08:53.000	9.7320	32.160	
1993-033T20:34:48.900	16.277	32.160	
1993-033T21:13:36.000	15.247	32.140	
1993-033T20:40:52.100	6.3230	32.140	
